studio,domestic_gross,foreign_gross,year
MBox,5565700,0,2016
Men.,1100000,0,2016
Mon,377000,0,2016
MR,9000,0,2016
Orch.,7758000,0,2016
ORF,87300000,55100000,2016
Osci.,1403100,1100000,2016
Pala.,53400,0,2016
Par.,793900000,888600000,2016
PFR,25300000,3955000,2016
PM&E,126000,0,2016
PNT,16300000,0,2016
RAtt.,94600000,43931000,2016
Rel.,332000,0,2016
Rela.,19800000,0,2016
Relbig.,3500000,0,2016
Rialto,66100,0,2016
Scre.,111500,0,2016
SDS,50200,0,2016
SGem,129800000,74311000,2016
SM,398000,0,2016
Sony,699224100,1577000000,2016
SPC,22244000,21850000,2016
Strand,413500,0,2016
STX,195600000,116300000,2016
TriS,104400000,93700000,2016
Uni.,1453400000,2162722000,2016
UTV,14947900,290500000,2016
VE,270000,0,2016
Vita.,286000,0,2016
W/Dim.,110000,18152000,2016
WB,1394365000,2154900000,2016
"WB (NL)",505800000,665100000,2016
Wein.,61100000,99000000,2016
WGUSA,8193500,599500000,2016
Yash,8500000,107000000,2016
YFG,1100000,0,2016
Zee,1100000,571000,2016
Zeit.,11700,0,2016
,0,122000000,2017
A24,95405700,44000000,2017
Abr.,1895900,0,2017
ADC,20200,0,2017
Affirm,5800000,140000,2017
Amazon,1400000,14500000,2017
Annapurna,18900000,1700000,2017
Arrow,21000,0,2017
Aviron,31000000,0,2017
BBC,81300,11600000,2017
BG,20967000,2178000,2017
BST,44390000,31400000,2017
BV,2378200000,3946600000,2017
CAVU,25300,0,2017
CBS,1300000,0,2017
CFI,96000,0,2017
CJ,2595200,100500000,2017
CL,2934800,355500000,2017
CLS,60300,0,2017
Cohen,4654000,0,2017
Crimson,54200,0,2017
Distrib.,1009000,2900000,2017
EF,22800,0,2017
Elev.,1810000,19200000,2017
ENTMP,77900000,0,2017
Eros,789600,0,2017
Fathom,2400000,0,2017
FCW,515000,2600000,2017
FIP,6418500,82500000,2017
FM,329400,0,2017
Focus,179900000,237800000,2017
Fox,1345000000,2524100000,2017
FoxS,166800000,272782000,2017
FR,403500,8800000,2017
FUN,6363000,418800000,2017
Gathr,727000,0,2017
GK,692000,0,2017
Gold.,113000,0,2017
"Good Deed",6700000,35500000,2017
Grav.,101000,0,2017
GrtIndia,20200000,234000000,2017
HC,2700000,867600000,2017
Hiber,3600,0,2017
IFC,3462800,13300000,2017
Imax,1500000,1300000,2017
Jan.,457000,0,2017
KL,648100,0,2017
LG/S,279200000,220200000,2017
LGF,422465000,384804000,2017
Magn.,10555000,1300000,2017
MBox,3385000,0,2017
MOM,14800,1100000,2017
Neon,33000000,23900000,2017
Orch.,272000,0,2017
ORF,98899999,55600000,2017
Orion,336000,0,2017
Osci.,3533600,0,2017
Par.,491191999,1247699999,2017
ParC,5900,34200000,2017
PFR,14700000,3000000,2017
PNT,39900000,29700000,2017
RAtt.,17324000,11310000,2017
Scre.,2451000,0,2017
SGem,57200000,336100000,2017
Sony,1062655500,1864499999,2017
SPC,36255000,33100000,2017
Strand,257600,0,2017
STX,230900000,395800000,2017
SV,1000000,0,2017
TriS,135300000,190300000,2017
Uni.,1453000000,2311300001,2017
UTMW,62500,0,2017
VE,24500,0,2017
Vita.,360000,143000,2017
W/Dim.,700,7700000,2017
WB,1479400000,2288799999,2017
"WB (NL)",532400000,634700000,2017
Wein.,78356000,106675000,2017
WGUSA,4743900,435900000,2017
Yash,6530000,81800000,2017
Zeit.,820000,0,2017
A24,45848000,52300000,2018
Abr.,231000,0,2018
Affirm,17600000,5500000,2018
Amazon,22699999,20300000,2018
Annapurna,67300000,47900000,2018
Aviron,26200000,2200000,2018
"BH Tilt",20900000,8700000,2018
"Blue Fox",91000,5300000,2018
BST,29860000,15700000,2018
BV,3045600000,2621800001,2018
CARUSEL,23000,0,2018
CJ,1072600,10600000,2018
CL,310200,35300000,2018
CLS,12900,0,2018
Cohen,1494600,3100000,2018
Conglomerate,147000,0,2018
"Darin Southa",93200,5200,2018
Distrib.,73500,7300000,2018
Electric,3400000,0,2018
Elev.,186000,0,2018
ENTMP,23500000,591000,2018
EOne,1068000,0,2018
Eros,3371900,0,2018
Fathom,5247000,0,2018
FIP,9200000,93500000,2018
FM,697400,30000,2018
Focus,111900000,110800000,2018
Fox,840300000,1743200000,2018
FoxS,86500000,93800000,2018
FR,905000,0,2018
FUN,5800000,0,2018
Gaum.,411000,0,2018
GK,3773800,9600000,2018
